cluster_id,candidate_family,product_count,collections,vendor,variant_signature,price_signature,option_signature,sku_pattern,media_pattern,active_products,structural_confidence,unknowns,representative_product_ids,required_validation
C01,Front-seat cover pairs,540,"Car Accessories | Car Seat Covers",BestPrintsCo,1,64.95,(none),PP.#,3-4 images,540,high,"Exact supplier model; materials; fit; construction","gid://shopify/Product/6826922836048 | gid://shopify/Product/6827211063376 | gid://shopify/Product/6827211194448","Verify exact PillowProfits family and specifications; sample more mockups"
C02,Rear-seat pet covers,333,Car Seat Covers,BestPrintsCo,2,64.95,(none),PP.#,2-5 images,333,high,"Exact supplier model; materials; attachment and fit","gid://shopify/Product/6827194646608 | gid://shopify/Product/6827195695184 | gid://shopify/Product/6827196579920","Verify two-variant meaning and exact supplier family"
C03,Car floor mats,326,"Car Accessories | Car Floor Mats",BestPrintsCo,1,64.95,(none),PP.#,2-5 images,326,high,"Exact supplier model; set size; material; vehicle fit","gid://shopify/Product/6827210997840 | gid://shopify/Product/6827211128912 | gid://shopify/Product/6827211391056","Verify exact PillowProfits family and what the single variant represents"
C04,Ten-variant lace-up boots legacy signature,302,"Vegan Leather Boots | Women Boots",BestPrintsCo,10,64.95,(not captured),PP.#,1-7 images,302,medium,"Relationship to C06; exact material; sizing; construction","gid://shopify/Product/4469692563536 | gid://shopify/Product/4469692596304 | gid://shopify/Product/4469692825680","Supplier-source match plus SKU/size-map comparison against C06"
C05,Steering-wheel covers,295,"Car Accessories | Steering Wheel Covers",e-joyer,1,14.49,(none),D#,3 images,295,high,"Exact supplier and fit range; material; dependency on non-PillowProfits vendor","gid://shopify/Product/6827197956176 | gid://shopify/Product/6827197988944 | gid://shopify/Product/6827198021712","Verify e-joyer source and exact fit specifications"
C06,Ten-variant lace-up boots current signature,262,"Vegan Leather Boots | Women Boots",BestPrintsCo,10,65.00,"Style | Size","PP.# (one TS outlier)",1-5 images,262,medium,"Relationship to C04; TS SKU outlier; exact material and construction","gid://shopify/Product/4866798420048 | gid://shopify/Product/6777648480336 | gid://shopify/Product/6825831923792","Supplier-source match; isolate TS SKU; compare size maps and mockup generations"
C07,Mixed single-variant bags at 44.95,204,Bags,BestPrintsCo,1,44.95,(none),PP.#,1-6 images,204,low,"Contains tote crossbody handbag and other silhouettes; not one base family","gid://shopify/Product/6827254972496 | gid://shopify/Product/6827370217552 | gid://shopify/Product/6838291234896","Split by title silhouette and image before supplier validation"
C08,SPOD adult T-shirts 42-variant signature,158,T-SHIRTS,SPOD,42,24.95,"Color | Size",SPOD product-specific stems,7 images,158,high,"Exact garment model; color/size mapping; fabric claims","gid://shopify/Product/6827252973648 | gid://shopify/Product/6827281350736 | gid://shopify/Product/6827281383504","Verify SPOD garment source and complete option/SKU map"
C09,Women's leggings and capri leggings,148,WOMENS LEGGINGS,BestPrintsCo,5,39.95,(not captured),PP.#,4 images,148,medium,"Full-length and capri titles coexist; may contain multiple base products","gid://shopify/Product/6837799419984 | gid://shopify/Product/6837799485520 | gid://shopify/Product/6837799616592","Split by title and main-image length; verify separate supplier families"
C10,Hooded blankets two-variant signature,123,"All Home Products | Hooded Blankets",BestPrintsCo,2,59.95,(not captured),PP.#,3-8 images,123,high,"Exact sizes; fabric; construction","gid://shopify/Product/6827197792336 | gid://shopify/Product/6827255136336 | gid://shopify/Product/6827271585872","Verify exact PillowProfits family and two-variant size map"
C11,CustomCat kids hoodies,114,"KIDS CLOTHING | KIDS HOODIES",CustomCat,28,29.95,"Color | Size",CustomCat stems,5-7 images,114,high,"Exact garment model; fabric; age/size claims","gid://shopify/Product/6827254612048 | gid://shopify/Product/6827255201872 | gid://shopify/Product/6827255267408","Verify CustomCat source and full color/size map"
C12,Bedding sets 12-variant signature,113,"All Home Products | BEDDING SETS",BestPrintsCo,12,"59.95 | 64.95 | 69.95",(not captured),PP.#,3-6 images,113,high,"Set contents; size mapping; material","gid://shopify/Product/6827354783824 | gid://shopify/Product/6827354816592 | gid://shopify/Product/6827355865168","Verify exact PillowProfits family and set/size contents"
C13,SPOD hoodies 48-variant signature,102,HOODIES,SPOD,48,39.95,"Color | Size",SPOD product-specific stems,6-7 images,102,high,"Exact garment model; fabric; fit","gid://shopify/Product/6827297079376 | gid://shopify/Product/6827297767504 | gid://shopify/Product/6827297833040","Verify SPOD garment source and option/SKU map"
C14,Happy Monday high-top shoes,102,High Top Shoes,Happy Monday Store,18,55.00,"Style | Size",PP.#,5 images,102,high,"Exact base model; material; audience and size mapping","gid://shopify/Product/4828978937936 | gid://shopify/Product/4833072840784 | gid://shopify/Product/4842808311888","Verify supplier family and 18-variant style/size mapping"
C15,Happy Monday low-top shoes,95,Low Top Shoes,Happy Monday Store,18,55.00,"Style | Size",PP.#,5 images,95,high,"Exact base model; material; audience and size mapping","gid://shopify/Product/4828873621584 | gid://shopify/Product/4837397364816 | gid://shopify/Product/4842807525456","Verify supplier family and distinguish from C14"
C16,Archived slippers 40.00 signature,94,Slippers & Flip Flops,BestPrintsCo,10,40.00,"Style | Size",PP.#,0-1 images,0,medium,"All products inactive; missing media on some records; relationship to C29","gid://shopify/Product/6841670729808 | gid://shopify/Product/6841670762576 | gid://shopify/Product/6841670795344","Confirm archival purpose and compare base model with C29; do not select for pilot"
C17,Canvas tote bags 29.95 signature,93,Bags,BestPrintsCo,1,29.95,(none),PP.#,2-3 images,93,high,"Exact material; dimensions; supplier family","gid://shopify/Product/6827363467344 | gid://shopify/Product/6827394105424 | gid://shopify/Product/6840188207184","Verify exact PillowProfits tote family and dimensions"
